,timestamp,value
219,11/11/2016,1777
220,11/14/2016,1765
221,11/15/2016,1727
222,11/16/2016,1719
223,11/17/2016,1692.5
224,11/18/2016,1712
225,11/21/2016,1726
226,11/22/2016,1739
227,11/23/2016,1765.5
228,11/24/2016,1774
229,11/25/2016,1751
230,11/28/2016,1766.5
231,11/29/2016,1722
232,11/30/2016,1722.5
233,12/1/2016,1724
234,12/2/2016,1715
235,12/5/2016,1728
236,12/6/2016,1718
237,12/7/2016,1728
238,12/8/2016,1731.5
239,12/9/2016,1742.5
240,12/12/2016,1749.5
241,12/13/2016,1755
242,12/14/2016,1752
243,12/15/2016,1736
244,12/16/2016,1732.5
245,12/19/2016,1717
246,12/20/2016,1722.5
247,12/21/2016,1730.5
248,12/22/2016,1737.5
249,12/23/2016,1740
250,12/28/2016,1726.5
251,12/29/2016,1713
252,12/30/2016,1713.5
253,1/3/2017,1702
254,1/4/2017,1701
255,1/5/2017,1709.5
256,1/6/2017,1722
257,1/9/2017,1717
258,1/10/2017,1757.5
259,1/11/2017,1748.5
260,1/12/2017,1788
261,1/13/2017,1790.5
262,1/16/2017,1812
263,1/17/2017,1805.5
264,1/18/2017,1800.5
265,1/19/2017,1832
266,1/20/2017,1839
267,1/23/2017,1870
268,1/24/2017,1870
269,1/25/2017,1849
270,1/26/2017,1837.5
271,1/27/2017,1827.5
272,1/30/2017,1807
273,1/31/2017,1820.5
274,2/1/2017,1818
275,2/2/2017,1813
276,2/3/2017,1808.5
277,2/6/2017,1812
278,2/7/2017,1809
279,2/8/2017,1821
280,2/9/2017,1839
281,2/10/2017,1849
282,2/13/2017,1867.5
283,2/14/2017,1893
284,2/15/2017,1871
285,2/16/2017,1878
286,2/17/2017,1865.5
287,2/20/2017,1878
288,2/21/2017,1878
289,2/22/2017,1873
290,2/23/2017,1882.5
291,2/24/2017,1877
292,2/27/2017,1908
293,2/28/2017,1895
294,3/1/2017,1934
295,3/2/2017,1929
296,3/3/2017,1909
297,3/6/2017,1868
298,3/7/2017,1858
299,3/8/2017,1881
300,3/9/2017,1847
301,3/10/2017,1884.5
302,3/13/2017,1882
303,3/14/2017,1851
304,3/15/2017,1863
305,3/16/2017,1895
306,3/17/2017,1901
307,3/20/2017,1908
308,3/21/2017,1918
309,3/22/2017,1910
310,3/23/2017,1913
311,3/24/2017,1917.5
312,3/27/2017,1916
313,3/28/2017,1918.5
314,3/29/2017,1931
315,3/30/2017,1955
316,3/31/2017,1946.5
317,4/3/2017,1948.5
318,4/4/2017,1938
319,4/5/2017,1962
320,4/6/2017,1956
321,4/7/2017,1929.5
322,4/10/2017,1929
323,4/11/2017,1907.5
324,4/12/2017,1907
325,4/13/2017,1890
326,4/18/2017,1915.5
327,4/19/2017,1895.5
328,4/20/2017,1933
329,4/21/2017,1932.5
330,4/24/2017,1928
331,4/25/2017,1943
332,4/26/2017,1957.5
333,4/27/2017,1954.5
334,4/28/2017,1930
335,5/2/2017,1909
336,5/3/2017,1916
337,5/4/2017,1909.5
338,5/5/2017,1907
339,5/8/2017,1879
340,5/9/2017,1874
341,5/10/2017,1870
342,5/11/2017,1887
343,5/12/2017,1880
344,5/15/2017,1899.5
345,5/16/2017,1915
346,5/17/2017,1928
347,5/18/2017,1905
348,5/19/2017,1938
349,5/22/2017,1943
350,5/23/2017,1926
351,5/24/2017,1944
352,5/25/2017,1954
353,5/26/2017,1950
354,5/30/2017,1943.5
355,5/31/2017,1919.5
356,6/1/2017,1930
357,6/2/2017,1916.5
358,6/5/2017,1917.5
359,6/6/2017,1893
360,6/7/2017,1903.5
361,6/8/2017,1902.5
362,6/9/2017,1901.5
363,6/12/2017,1888
364,6/13/2017,1877
365,6/14/2017,1886.5
366,6/15/2017,1864
367,6/16/2017,1861
368,6/19/2017,1861.5
369,6/20/2017,1889
370,6/21/2017,1865.5
371,6/22/2017,1872
372,6/23/2017,1868
373,6/26/2017,1855
374,6/27/2017,1861.5
375,6/28/2017,1886
376,6/29/2017,1897.5
377,6/30/2017,1908.5
378,7/3/2017,1917.5
379,7/4/2017,1903.5
380,7/5/2017,1913
381,7/6/2017,1925.5
382,7/7/2017,1920
383,7/10/2017,1914
384,7/11/2017,1879
385,7/12/2017,1877
386,7/13/2017,1911
387,7/14/2017,1904
388,7/17/2017,1901
389,7/18/2017,1887
390,7/19/2017,1907
391,7/20/2017,1898
392,7/21/2017,1901
393,7/24/2017,1890
394,7/25/2017,1896.5
