timestamp,value
09-17-2016,1558.5
09-18-2016,1558.5
09-19-2016,1558.5
09-20-2016,1563
09-21-2016,1570
09-22-2016,1611.5
09-23-2016,1637.5
09-24-2016,1620
09-25-2016,1620
09-26-2016,1620
09-27-2016,1648
09-28-2016,1648.5
09-29-2016,1653
09-30-2016,1658.5
10-01-2016,1650
10-02-2016,1650
10-03-2016,1650
10-04-2016,1670.5
10-05-2016,1662.5
10-06-2016,1667.5
10-07-2016,1675
10-08-2016,1678
10-09-2016,1678
10-10-2016,1678
10-11-2016,1673
10-12-2016,1684
10-13-2016,1681
10-14-2016,1685
10-15-2016,1645
10-16-2016,1645
10-17-2016,1645
10-18-2016,1663.5
10-19-2016,1622
10-20-2016,1612.5
10-21-2016,1617
10-22-2016,1626.5
10-23-2016,1626.5
10-24-2016,1626.5
10-25-2016,1651
10-26-2016,1673
10-27-2016,1681.5
10-28-2016,1701.5
10-29-2016,1723
10-30-2016,1723
10-31-2016,1723
11-01-2016,1732
11-02-2016,1709
11-03-2016,1726
11-04-2016,1718.5
11-05-2016,1716
11-06-2016,1716
11-07-2016,1716
11-08-2016,1706
11-09-2016,1737.5
11-10-2016,1772.5
11-11-2016,1777
11-12-2016,1765
11-13-2016,1765
11-14-2016,1765
11-15-2016,1727
11-16-2016,1719
11-17-2016,1692.5
11-18-2016,1712
11-19-2016,1726
11-20-2016,1726
11-21-2016,1726
11-22-2016,1739
11-23-2016,1765.5
11-24-2016,1774
11-25-2016,1751
11-26-2016,1766.5
11-27-2016,1766.5
11-28-2016,1766.5
11-29-2016,1722
11-30-2016,1722.5
12-01-2016,1724
12-02-2016,1715
12-03-2016,1728
12-04-2016,1728
12-05-2016,1728
12-06-2016,1718
12-07-2016,1728
12-08-2016,1731.5
12-09-2016,1742.5
12-10-2016,1749.5
12-11-2016,1749.5
12-12-2016,1749.5
12-13-2016,1755
12-14-2016,1752
12-15-2016,1736
12-16-2016,1732.5
12-17-2016,1717
12-18-2016,1717
12-19-2016,1717
12-20-2016,1722.5
12-21-2016,1730.5
12-22-2016,1737.5
12-23-2016,1740
12-24-2016,1726.5
12-25-2016,1726.5
12-26-2016,1726.5
12-27-2016,1726.5
12-28-2016,1726.5
12-29-2016,1713
12-30-2016,1713.5
12-31-2016,1702
01-01-2017,1702
01-02-2017,1702
01-03-2017,1702
01-04-2017,1701
01-05-2017,1709.5
01-06-2017,1722
01-07-2017,1717
01-08-2017,1717
01-09-2017,1717
01-10-2017,1757.5
01-11-2017,1748.5
01-12-2017,1788
01-13-2017,1790.5
01-14-2017,1812
01-15-2017,1812
01-16-2017,1812
01-17-2017,1805.5
01-18-2017,1800.5
01-19-2017,1832
01-20-2017,1839
01-21-2017,1870
01-22-2017,1870
01-23-2017,1870
01-24-2017,1870
01-25-2017,1849
01-26-2017,1837.5
01-27-2017,1827.5
01-28-2017,1807
01-29-2017,1807
01-30-2017,1807
01-31-2017,1820.5
02-01-2017,1818
02-02-2017,1813
02-03-2017,1808.5
02-04-2017,1812
02-05-2017,1812
02-06-2017,1812
02-07-2017,1809
02-08-2017,1821
02-09-2017,1839
02-10-2017,1849
02-11-2017,1867.5
02-12-2017,1867.5
02-13-2017,1867.5
02-14-2017,1893
02-15-2017,1871
02-16-2017,1878
02-17-2017,1865.5
02-18-2017,1878
02-19-2017,1878
02-20-2017,1878
02-21-2017,1878
02-22-2017,1873
02-23-2017,1882.5
02-24-2017,1877
02-25-2017,1908
02-26-2017,1908
02-27-2017,1908
02-28-2017,1895
03-01-2017,1934
03-02-2017,1929
03-03-2017,1909
03-04-2017,1868
03-05-2017,1868
03-06-2017,1868
03-07-2017,1858
03-08-2017,1881
03-09-2017,1847
03-10-2017,1884.5
03-11-2017,1882
03-12-2017,1882
03-13-2017,1882
03-14-2017,1851
03-15-2017,1863
03-16-2017,1895
03-17-2017,1901
03-18-2017,1908
03-19-2017,1908
03-20-2017,1908
03-21-2017,1918
03-22-2017,1910
03-23-2017,1913
03-24-2017,1917.5
03-25-2017,1916
03-26-2017,1916
03-27-2017,1916
03-28-2017,1918.5
03-29-2017,1931
03-30-2017,1955
03-31-2017,1946.5
04-01-2017,1948.5
04-02-2017,1948.5
04-03-2017,1948.5
04-04-2017,1938
04-05-2017,1962
04-06-2017,1956
04-07-2017,1929.5
04-08-2017,1929
04-09-2017,1929
04-10-2017,1929
04-11-2017,1907.5
04-12-2017,1907
04-13-2017,1890
04-14-2017,1915.5
04-15-2017,1915.5
04-16-2017,1915.5
04-17-2017,1915.5
04-18-2017,1915.5
04-19-2017,1895.5
04-20-2017,1933
04-21-2017,1932.5
04-22-2017,1928
04-23-2017,1928
04-24-2017,1928
04-25-2017,1943
04-26-2017,1957.5
04-27-2017,1954.5
04-28-2017,1930
04-29-2017,1909
04-30-2017,1909
05-01-2017,1909
05-02-2017,1909
05-03-2017,1916
05-04-2017,1909.5
05-05-2017,1907
05-06-2017,1879
05-07-2017,1879
05-08-2017,1879
05-09-2017,1874
05-10-2017,1870
05-11-2017,1887
05-12-2017,1880
05-13-2017,1899.5
05-14-2017,1899.5
05-15-2017,1899.5
05-16-2017,1915
05-17-2017,1928
05-18-2017,1905
05-19-2017,1938
05-20-2017,1943
05-21-2017,1943
05-22-2017,1943
05-23-2017,1926
05-24-2017,1944
05-25-2017,1954
05-26-2017,1950
05-27-2017,1943.5
05-28-2017,1943.5
05-29-2017,1943.5
05-30-2017,1943.5
05-31-2017,1919.5
06-01-2017,1930
06-02-2017,1916.5
06-03-2017,1917.5
06-04-2017,1917.5
06-05-2017,1917.5
06-06-2017,1893
06-07-2017,1903.5
06-08-2017,1902.5
06-09-2017,1901.5
06-10-2017,1888
06-11-2017,1888
06-12-2017,1888
06-13-2017,1877
06-14-2017,1886.5
06-15-2017,1864
06-16-2017,1861
06-17-2017,1861.5
06-18-2017,1861.5
06-19-2017,1861.5
06-20-2017,1889
06-21-2017,1865.5
06-22-2017,1872
06-23-2017,1868
06-24-2017,1855
06-25-2017,1855
06-26-2017,1855
06-27-2017,1861.5
06-28-2017,1886
06-29-2017,1897.5
06-30-2017,1908.5
07-01-2017,1917.5
07-02-2017,1917.5
07-03-2017,1917.5
07-04-2017,1903.5
07-05-2017,1913
07-06-2017,1925.5
07-07-2017,1920
07-08-2017,1914
07-09-2017,1914
07-10-2017,1914
07-11-2017,1879
07-12-2017,1877
07-13-2017,1911
07-14-2017,1904
07-15-2017,1901
07-16-2017,1901
07-17-2017,1901
07-18-2017,1887
07-19-2017,1907
07-20-2017,1898
07-21-2017,1901
07-22-2017,1890
07-23-2017,1890
07-24-2017,1890
07-25-2017,1896.5
07-26-2017,1912
07-27-2017,1923
07-28-2017,1892
07-29-2017,1904
07-30-2017,1904
07-31-2017,1904
08-01-2017,1887
08-02-2017,1904
08-03-2017,1891.5
08-04-2017,1890
08-05-2017,1920
08-06-2017,1920
08-07-2017,1920
08-08-2017,1981
08-09-2017,2018
08-10-2017,2024
08-11-2017,2040.5
08-12-2017,2030
08-13-2017,2030
08-14-2017,2030
08-15-2017,2056
08-16-2017,2075
08-17-2017,2095.5
08-18-2017,2104.5
08-19-2017,2084.5
08-20-2017,2084.5
08-21-2017,2084.5
08-22-2017,2104.5
08-23-2017,2082.5
08-24-2017,2105
08-25-2017,2096.5
08-26-2017,2092
08-27-2017,2092
08-28-2017,2092
08-29-2017,2092
08-30-2017,2066.5
08-31-2017,2113.5
09-01-2017,2113.5
09-02-2017,2095.5
09-03-2017,2095.5
09-04-2017,2095.5
09-05-2017,2082
09-06-2017,2069.5
09-07-2017,2075
09-08-2017,2072
09-09-2017,2100.5
09-10-2017,2100.5
09-11-2017,2100.5
09-12-2017,2083
09-13-2017,2083
09-14-2017,2065
09-15-2017,2068
09-16-2017,2066.5
09-17-2017,2066.5
09-18-2017,2066.5
09-19-2017,2107.5
09-20-2017,2164
09-21-2017,2154
09-22-2017,2137
09-23-2017,2128
09-24-2017,2128
09-25-2017,2128
09-26-2017,2116
09-27-2017,2117
09-28-2017,2102.5
09-29-2017,2110.5
09-30-2017,2067
10-01-2017,2067
10-02-2017,2067
10-03-2017,2114.5
10-04-2017,2139.5
10-05-2017,2124
10-06-2017,2121.5
10-07-2017,2135
10-08-2017,2135
10-09-2017,2135
10-10-2017,2133
10-11-2017,2124
10-12-2017,2117.5
10-13-2017,2140
10-14-2017,2144
10-15-2017,2144
10-16-2017,2144
10-17-2017,2111
10-18-2017,2106.5
10-19-2017,2128.5
10-20-2017,2159
10-21-2017,2133.5
10-22-2017,2133.5
10-23-2017,2133.5
10-24-2017,2144
10-25-2017,2149.5
10-26-2017,2175
10-27-2017,2119
10-28-2017,2143
10-29-2017,2143
10-30-2017,2143
10-31-2017,2140
11-01-2017,2188
11-02-2017,2152
11-03-2017,2165
11-04-2017,2152
11-05-2017,2152
11-06-2017,2152
11-07-2017,2131
11-08-2017,2103.5
11-09-2017,2078
11-10-2017,2090
11-11-2017,2100
11-12-2017,2100
11-13-2017,2100
11-14-2017,2085
11-15-2017,2082
11-16-2017,2106
11-17-2017,2077
11-18-2017,2067.5
11-19-2017,2067.5
11-20-2017,2067.5
11-21-2017,2062
11-22-2017,2085
11-23-2017,2090
11-24-2017,2104
11-25-2017,2109.5
11-26-2017,2109.5
11-27-2017,2109.5
11-28-2017,2100
11-29-2017,2062
11-30-2017,2033
12-01-2017,2046.5
12-02-2017,2052.5
12-03-2017,2052.5
12-04-2017,2052.5
12-05-2017,2052
12-06-2017,2028.5
12-07-2017,1994
12-08-2017,1992
12-09-2017,1991.5
12-10-2017,1991.5
12-11-2017,1991.5
12-12-2017,2004
12-13-2017,1997
12-14-2017,2017
12-15-2017,2036
12-16-2017,2047.5
12-17-2017,2047.5
12-18-2017,2047.5
12-19-2017,2061
12-20-2017,2092
12-21-2017,2108.5
12-22-2017,2137
12-23-2017,2199.5
12-24-2017,2199.5
12-25-2017,2199.5
12-26-2017,2199.5
12-27-2017,2199.5
12-28-2017,2246
12-29-2017,2241.5
12-30-2017,2256
12-31-2017,2256
01-01-2018,2256
01-02-2018,2256
01-03-2018,2241
01-04-2018,2230
01-05-2018,2205.5
01-06-2018,2177.5
01-07-2018,2177.5
01-08-2018,2177.5
01-09-2018,2143.5
01-10-2018,2159
01-11-2018,2179
01-12-2018,2215
01-13-2018,2227.5
01-14-2018,2227.5
01-15-2018,2227.5
01-16-2018,2172
01-17-2018,2187
01-18-2018,2225
01-19-2018,2256
01-20-2018,2235
01-21-2018,2235
01-22-2018,2235
01-23-2018,2213.5
01-24-2018,2216
01-25-2018,2237.5
01-26-2018,2238
01-27-2018,2251.5
01-28-2018,2251.5
01-29-2018,2251.5
01-30-2018,2229
01-31-2018,2224.5
02-01-2018,2218
02-02-2018,2228
02-03-2018,2202
02-04-2018,2202
02-05-2018,2202
02-06-2018,2196
02-07-2018,2181.5
02-08-2018,2168
02-09-2018,2142
02-10-2018,2129.5
02-11-2018,2129.5
02-12-2018,2129.5
02-13-2018,2123.5
02-14-2018,2138
02-15-2018,2164
02-16-2018,2189.5
02-17-2018,2266
02-18-2018,2266
02-19-2018,2266
02-20-2018,2239
02-21-2018,2190
02-22-2018,2194
02-23-2018,2210
02-24-2018,2188.5
02-25-2018,2188.5
02-26-2018,2188.5
02-27-2018,2172.5
02-28-2018,2158.5
03-01-2018,2143
03-02-2018,2144
03-03-2018,2135
03-04-2018,2135
03-05-2018,2135
03-06-2018,2136
03-07-2018,2112.5
03-08-2018,2082.5
03-09-2018,2078.5
03-10-2018,2097
03-11-2018,2097
03-12-2018,2097
03-13-2018,2080
03-14-2018,2096
03-15-2018,2062.5
03-16-2018,2069
03-17-2018,2070.5
03-18-2018,2070.5
03-19-2018,2070.5
03-20-2018,2073
03-21-2018,2056.5
03-22-2018,2059
03-23-2018,2049
03-24-2018,2022
03-25-2018,2022
03-26-2018,2022
03-27-2018,2035
03-28-2018,2009
03-29-2018,1997
03-30-2018,2010
03-31-2018,2010
04-01-2018,2010
04-02-2018,2010
04-03-2018,2010
04-04-2018,1972
04-05-2018,1969
04-06-2018,1967
04-07-2018,2113
04-08-2018,2113
04-09-2018,2113
04-10-2018,2171.5
04-11-2018,2253
04-12-2018,2220.5
04-13-2018,2325
04-14-2018,2358.5
04-15-2018,2358.5
04-16-2018,2358.5
04-17-2018,2375.5
04-18-2018,2528.5
04-19-2018,2602.5
04-20-2018,2463
04-21-2018,2452
04-22-2018,2452
04-23-2018,2452
04-24-2018,2222
04-25-2018,2248
04-26-2018,2204
04-27-2018,2249
04-28-2018,2224
04-29-2018,2224
04-30-2018,2224
05-01-2018,2258
05-02-2018,2269
05-03-2018,2349
05-04-2018,2316
05-05-2018,2384
05-06-2018,2384
05-07-2018,2384
05-08-2018,2384
05-09-2018,2295
05-10-2018,2327
05-11-2018,2273.5
05-12-2018,2285.5
05-13-2018,2285.5
05-14-2018,2285.5
05-15-2018,2313
05-16-2018,2319.5
05-17-2018,2280
05-18-2018,2297
05-19-2018,2278.5
05-20-2018,2278.5
05-21-2018,2278.5
05-22-2018,2265.5
05-23-2018,2227
05-24-2018,2271
05-25-2018,2282
05-26-2018,2260
05-27-2018,2260
05-28-2018,2260
05-29-2018,2260
05-30-2018,2265.5
05-31-2018,2285.5
